state,year,oberate,unerate,pcspend,fastfood,bachelors,pop,income
South Dakota,2019,33,2.8,41346,567,29.7,887.127,73190
Tennessee,2019,36.5,3.4,38004,5399,28.7,6830.325,64500
Texas,2019,34,3.5,40509,22342,30.8,28986.794,76820
Utah,2019,29.2,2.6,37734,2491,34.8,3203.383,96270
Vermont,2019,26.6,2.3,48187,414,38.7,624.046,84630
Virginia,2019,31.9,2.8,43669,6899,39.6,8556.642,92610
Washington,2019,28.3,4.3,47202,5032,37,7614.024,93910
West Virginia,2019,39.7,4.9,37645,1312,21.1,1795.263,61170
Wisconsin,2019,34.2,3.2,41453,3783,31.3,5824.581,76720
Wyoming,2019,29.7,3.7,43862,363,29.1,580.116,74190
Alabama,2020,39,6.5,34878,4079,27.8,5031.362,61650
